Dialect,Website (youtube/something else),Source link,Duration,number of speakers
Najdi / Saudi,You Tube,https://youtu.be/ZsZNggMBQLo?si=tKc_qR_2JkR6IotL,01.42.20,2
Najdi / Saudi,You Tube,https://youtu.be/HwVwgIBFj_4?si=2jh5Yk_HwTh8WZC-,03.13.58,2
Najdi / Saudi,You Tube,https://youtu.be/6TdMQk_mX9k?si=Gr_FCOI-oBzUATmx,02.22.39,2
Najdi / Saudi,You Tube,https://youtu.be/yYM3tb61WxM?si=NCNciZ4BJf8IdULf,01.32.27,2
Najdi / Saudi,You Tube,https://youtu.be/YBG7KTm_16w?si=bDv_LxbBf0Z-d3Ix,2.23.53,2
Najdi / Saudi,You Tube,https://youtu.be/5FADILXqGKg?si=4MNm7J_8TlE7p1nL,02.25.11,2
Najdi / Saudi,You Tube,https://youtu.be/CdtqrZwPDVw?si=Upm1s7PsKko7weTy,01.41.21,2
Najdi / Saudi,You Tube,https://youtu.be/UQnVwyfW5iI?si=LAbtDxCZg_FoxChK,01.54.17,2
Najdi / Saudi,You Tube,https://youtu.be/nh8CzRVtTSg?si=zNFN-NRR2MD2UBY4,02.15.40,2
Najdi / Saudi,You Tube,https://youtu.be/FdfgwADHl7k?si=VWaGmaQCHkjFxR3v,02.38.46,2
Najdi / Saudi,You Tube,https://youtu.be/eF59W11nzlY?si=u-XhOVrzpcxD1I3C,02.04.03,2
Najdi / Saudi,You Tube,https://youtu.be/Jvr2Z6v0fz4?si=LHhcAjr7AYfliV6T,02.19.30,2
Najdi / Saudi,You Tube,https://youtu.be/nczXDb2l4VU?si=ExmfmaTjhn7zrwwD,02.11.41,2
Najdi / Saudi,You Tube,https://youtu.be/Y_7t81Orwp4?si=JydLdflJh45vU7yA,02.19.32,2
Najdi / Saudi,You Tube,https://youtu.be/hmWad_FbMlw?si=FJQHyFi3yRF--rQB,00.47.24,2
Najdi / Saudi,You Tube,https://youtu.be/HZKdvcoyzwI?si=pud1RHDyD5seJwLU,01.28.55,2
Najdi / Saudi,You Tube,https://youtu.be/DA0oZJ8Ly-8?si=_7T-qzGCBYtQOYww,02.05.55.,2
Najdi / Saudi,You Tube,https://youtu.be/YI5PVi26Ixg?si=6VzzLXINzeO8be2a,01.19.42,2
Najdi / Saudi,You Tube,https://youtu.be/t7IrlGQ3aPM?si=DypvQ3c6d6tcCVky,02.21.58,2
Najdi / Saudi,You Tube,https://youtu.be/JzQJahCyZcw?si=5HN12BXOVS7u1bfL,01.35.29,2
Najdi / Saudi,You Tube,https://youtu.be/MWit67qlSyQ?si=pVPV7nyUc9PLlOxS,01.22.07,2
Najdi / Saudi,You Tube,https://youtu.be/RUCHx68JLks?si=DVtH-R01ga4Ksy8H,01.33.03,2
Najdi / Saudi,You Tube,https://youtu.be/AP_p6dbYR9Y?si=Pn9JLvAgPUj2zp9H,01.37.49,2
Najdi / Saudi,You Tube,https://youtu.be/C6eRRzd46zg?si=_ZIULTo2dEADQNkI,01.49.29,2
Najdi / Saudi,You Tube,https://youtu.be/nW79Vs7CDww?si=bZq31JGFMI1MTuVn,01.14.02,2
Najdi / Saudi,You Tube,https://youtu.be/Q8U7l3YLeSM?si=Wbd7l73VSl-NFlNR,01.51.26,2
Najdi / Saudi,You Tube,https://youtu.be/PbtEJHjF2Zg?si=64RDt4B-KDJYvIaC,02.52.00,2
Najdi / Saudi,You Tube,https://youtu.be/61yGGOBcPF8?si=awg6Ajt43FjH2zAT,01.57.43,2
Najdi / Saudi,You Tube,https://youtu.be/unFjY6Sl43c?si=lRJ4V3uAKPwwqGrG,01.27.25,2
Najdi / Saudi,You Tube,https://youtu.be/Zb2LmS1TkvI?si=yiuJi3_C2hi6uMH9,01.49.47,2
Najdi / Saudi,You Tube,https://youtu.be/c4zx1qyZiWc?si=Zrzb9VeSf-gJUYnP,02.02.55,2
Najdi / Saudi,You Tube,https://youtu.be/3TVrqPXtq24?si=WB1lEZQ5DY1pnNAC,01.47.27,2
Najdi / Saudi,You Tube,https://youtu.be/pRAi708jknA?si=BDSk8s2E4-YlM-AS,02.43.59,2
Najdi / Saudi,You Tube,https://youtu.be/eAC2eK3W_hg?si=L1pMIp_nl69Cn8lY,02.23.45,2
Najdi / Saudi,You Tube,https://youtu.be/aLZolXH0S8Q?si=bqDZQlMo4Vif-TzH,02.43.58,2
Najdi / Saudi,You Tube,https://youtu.be/M__-62agTFA?si=mFdCI7HVdtRAo8Av,02.08.13,2
Najdi / Saudi,You Tube,https://youtu.be/tXwKdXOoOuk?si=2wPCT08SLpO1XXGv,01.59.56,2
Najdi / Saudi,You Tube,https://youtu.be/6uXCCT1aKE0?si=YX_XhruMspCw3EM7,01.22.55,2
Najdi / Saudi,You Tube,https://youtu.be/YHm-8fq-9H8?si=liPc0MLWqHCARUzA,02.55.27,2
Najdi / Saudi,You Tube,https://youtu.be/aHU19xgbFM8?si=GPWTo5kk1eyjrPWN,01.35.32,2
Najdi / Saudi,You Tube,https://youtu.be/K5R-8DlQDeE?si=TcZ-j1YsWo6uoHLP,01.32.42,3
Najdi / Saudi,You Tube,https://youtu.be/YKx_dYWv9Zc?si=Lpii1Q1Smf3_gkXw,00.57.02,2
Najdi / Saudi,You Tube,https://youtu.be/TRPmhaWdpCo?si=82VPKBHvzXdBOB7J,01.23.54,2
Najdi / Saudi,You Tube,https://youtu.be/ilkjRGTFEMA?si=quq62PliSIGP0ghS,01.51.57,2
Najdi / Saudi,You Tube,https://youtu.be/nZx16zF8U3Y?si=mXsap7Dh5gwkjasX,01.15.09,2
Najdi / Saudi,You Tube,https://youtu.be/PfTqG0vkVqo?si=JBT2XHJRBRLkxczH,01.15.44,2
Najdi / Saudi,You Tube,https://youtu.be/Ys_gHxYTsB0?si=jYbKTgsDuLxjnJiJ,01.07.03,2
Najdi / Saudi,You Tube,https://youtu.be/FahjoWwLL6s?si=HDwZgctgbTWD-5kQ,03.11.53,2
Najdi / Saudi,You Tube,https://youtu.be/Ko5Lnkt2sTg?si=dgh_OQzTCfXuRB4u,02.51.11,2
Najdi / Saudi,You Tube,https://youtu.be/-fevsLuYi6U?si=gFxzphDErceFg4pk,01.43.02,2
Najdi / Saudi,You Tube,https://youtu.be/vFYRJK7vOWQ?si=CBY-uTsMJRfQVkVJ,01.54.56,2
Najdi / Saudi,You Tube,https://youtu.be/FOWkN8t754g?si=Pxh703lArQKH_G9s,02.18.57,2
Najdi / Saudi,You Tube,https://youtu.be/g8D_2hcM-Mc?si=51EcMrBvu-J0TtX7,01.36.13,2
Najdi / Saudi,You Tube,https://youtu.be/HX0LcJW1t_s?si=FzxixoeiBDZl4RiL,01.21.15,2
Najdi / Saudi,You Tube,https://youtu.be/B_I6H0j8Cmk?si=lz--5-JmI5fey0lC,01.10.29,2
Najdi / Saudi,You Tube,https://youtu.be/5gokKfXMdWM?si=KxNPYFvq46c2hXCP,01.35.34,2
Najdi / Saudi,You Tube,https://youtu.be/h6phZCFQhqA?si=HHJ6FMEiU4Dsg4SE,01.07.01,2
Najdi / Saudi,You Tube,https://youtu.be/oGV5mIh6JjA?si=MiP1NR3IGVJn1YT5,01.40.37,2
Najdi / Saudi,You Tube,https://youtu.be/nKrZHwBJUQ0?si=OkXxwEDniWxob2ls,01.49.42,2
Najdi / Saudi,You Tube,https://youtu.be/1Hu_Qv2DcBo?si=TeCuhJgEwutM94VK,01.15.44,2
Najdi / Saudi,You Tube,https://youtu.be/mcrAH6g7CFk?si=RJrOrfIXebiGJNty,01.35.33,2
Najdi / Saudi,You Tube,https://youtu.be/Cl2-1iT_XJk?si=HkSJH1IFnBmukIV2,01.38.42,2
Najdi / Saudi,You Tube,https://youtu.be/LkuByWfyr9g?si=WuRpiRejdTPSfdOM,01.29.47,2
Najdi / Saudi,You Tube,https://youtu.be/j4HzOr5NPHU?si=QQGw2bdUsYke-ZSK,02.14.57,2
Najdi / Saudi,You Tube,https://youtu.be/Q63E7C4P4Q0?si=dKXoTEghClMXKK6M,01.59.37,2
Najdi / Saudi,You Tube,https://youtu.be/I3ObUyDA74A?si=P3NxPq4ULzCATkxN,02.04.22,2
Najdi / Saudi,You Tube,https://youtu.be/3C-yvng81lk?si=jPGc-ZXSZWvh91nH,02.18.30,2
Najdi / Saudi,You Tube,https://youtu.be/bM4Q6dWa4SY?si=u6XmPJHHM1mFPIum,01.41.17,2
Najdi / Saudi,You Tube,https://youtu.be/yPqZio_0l6k?si=XIyExfE1RM3b0BtL,01.52.17,2
Najdi / Saudi,You Tube,https://youtu.be/LzqL6zsJPtU?si=rRkBHyCUWgCNOGDy,02.05.23,2
Najdi / Saudi,You Tube,https://youtu.be/LGLCDmh3Eq0?si=HV3IcVptk11xBDY-,01.30.23,2
Najdi / Saudi,You Tube,https://youtu.be/E_NUjVBdw6s?si=2gv8xdC-hsXWzeyT,01.43.19,2
Najdi / Saudi,You Tube,https://youtu.be/qfEmfxdsrkw?si=aAuG2cmZ0CqvC-vj,01.25.42,2
Najdi / Saudi,You Tube,https://youtu.be/_VUbQtt71S4?si=uBtfsuX6Xyzhrhh0,01.11.52,2
Najdi / Saudi,You Tube,https://youtu.be/Ntf5-Ne-0PU?si=uBvbLUUKTo_-0KCu,01.11.16,2
Najdi / Saudi,You Tube,https://youtu.be/OQ84LBOVTKA?si=qq_My65rvuFbRo37,02.00.18,2
Najdi / Saudi,You Tube,https://youtu.be/GPmEk5D1qH0?si=Z6hoGYhDLGbi-4Wv,01.37.07,2
Najdi / Saudi,You Tube,https://youtu.be/EqU3yY-rJr8?si=pfuEDlHaLHmTZzm_,01.33.22,2
Najdi / Saudi,You Tube,https://youtu.be/l42RJD1xAf0?si=6W1bmA0QoN4Bx0hs,02.09.25,2
Najdi / Saudi,You Tube,https://youtu.be/Scc_HHYCro8?si=TiDr-yZ5Obu2EhdL,01.41.25,2
Najdi / Saudi,You Tube,https://youtu.be/tYqjgV64x7o?si=XOphVacBP-WcoBiQ,01.27.51,2
Najdi / Saudi,You Tube,https://youtu.be/TK-XIeMJxFk?si=rEeXTk4SBu6Yr4Ip,01.22.18,2
Najdi / Saudi,You Tube,https://youtu.be/BZfzj49dpF8?si=kNW34b1aGtINjwev,01.39.14,2
Najdi / Saudi,You Tube,https://youtu.be/5AjnOUCncpM?si=OrHngfEEg9XZ2hnm,01.00.26,2
Najdi / Saudi,You Tube,https://youtu.be/q4GbWxvl3bg?si=3VITOf21TIF4HCTk,1.08.04,2
Najdi / Saudi,You Tube,https://youtu.be/hVLhHUy7Z_4?si=o0xu98d2U3qf9RHH,01.20.25,2
Najdi / Saudi,You Tube,https://youtu.be/LmTTKJgtNSg?si=Xqmy6y3YDmhmEAmf,01.13.00,2
Najdi / Saudi,You Tube,https://youtu.be/4Qq0sG-rESM?si=0eB5UaNfDr_GIcjN,01.16.08.,2
Najdi / Saudi,You Tube,https://youtu.be/zy1Iv3CwW18?si=UlhgqAvihIdV68VF,01.07.07,2
Najdi / Saudi,You Tube,https://youtu.be/6bPGV7XHc8w?si=ykYhMskO8ZUUHuwx,00.53.48,2
Najdi / Saudi,You Tube,https://youtu.be/rELjWWVhLdo?si=nW14BDzWTs4R-7ME,02.08.07,2
Najdi / Saudi,You Tube,https://youtu.be/EVb7w05VPwQ?si=zhGNhFiy6YNRsj47,01.13.50,2
Najdi / Saudi,You Tube,https://youtu.be/KOcbffcfoWE?si=ekJ4eSgp1VriX4pf,01.22.27,2
Najdi / Saudi,You Tube,https://youtu.be/KRjBnXDvsYI?si=u3iPzX0-BlLO7BVj,00.58.15,2
Najdi / Saudi,You Tube,https://youtu.be/0OiKMxrYT2w?si=J7Z1mFv6KChRN6nL,01.22.43,2
Najdi / Saudi,You Tube,https://youtu.be/K-t0SVQaLmo?si=Zm-ORxEte5KD6Vfr,01.10.19,2
Najdi / Saudi,You Tube,https://youtu.be/rx0fSDoWNR4?si=gROHY2R6t8cRKvzr,00.58.56,2
Najdi / Saudi,You Tube,https://youtu.be/4skHVpV-jUI?si=fJeraJ_t14-A7i-H,01.00.08,2
Najdi / Saudi,You Tube,https://youtu.be/jqaM0UlfgvI?si=og0d0aEY75tU0RAq,01.24.16,2
Najdi / Saudi,You Tube,https://youtu.be/KEPAhkxa5IY?si=EKNyGRrzFlAd5uef,01.08.54,2
Najdi / Saudi,You Tube,https://youtu.be/hvCfOHkamm4?si=ccnOvn8xeKeSGhrB,01.48.53,2
Najdi / Saudi,You Tube,https://youtu.be/pLXLl0dQOI4?si=Pc_0g2m4WJkKShYN,01.16.42,2
Najdi / Saudi,You Tube,https://youtu.be/MTYp6lvcJ84?si=mS-6FkbgEo8Oclk3,02.31.47,2
Najdi / Saudi,You Tube,https://youtu.be/T9mPybI9XaY?si=p1p7sgyzT3YzbFua,01.29.55,2
Najdi / Saudi,You Tube,https://youtu.be/AVM-DnTVofw?si=O18l61zVKqr1Vfye,00.55.49,2
Najdi / Saudi,You Tube,https://youtu.be/8Yj1MED0pA8?si=iuL9SBdRRJBy5NP4,01.03.08,2
Najdi / Saudi,You Tube,https://youtu.be/KK44E9lcSwU?si=oHp-L5NhjnO2tuHq,01.38.51,2
Najdi / Saudi,You Tube,https://youtu.be/EvBOc2TMi2o?si=ZgYp1NAMEdeDe00L,01.19.17,2
Najdi / Saudi,You Tube,https://youtu.be/Sf_lxiS3yoo?si=YYL0mCjDnoWm1cmG,01.35.36,2
Najdi / Saudi,You Tube,https://youtu.be/5zq4ixKFbaw?si=sZ8wFKOXnscXPyBk,01.21.50,2
Najdi / Saudi,You Tube,https://youtu.be/-R6ifSqOpvU?si=hYhLqkTJ-O_2SL8_,01.53.13,2
Najdi / Saudi,You Tube,https://youtu.be/oHYGVYoxEaY?si=jRq2NQ8E0HJiHUpD,.01.02.33,2
Najdi / Saudi,You Tube,https://youtu.be/BKVrcse_PhA?si=WvcD4qP3Gbs8ieIA,01.08.36,2
Najdi / Saudi,You Tube,https://youtu.be/MPOtaAXICTQ?si=Xao8cHHArwwztMGC,01.10.09,2
Najdi / Saudi,You Tube,https://youtu.be/bNn3VO0AuAs?si=MqICjI9y1o6M_73w,01.36.40,2
Najdi / Saudi,You Tube,https://youtu.be/wzdd-C8jGpo?si=gsNTsd6YOzC_dfM_,01.53.17,2
Najdi / Saudi,You Tube,https://youtu.be/qgRWvWYeOa8?si=eQ53fmINuoNVchbl,01.22.32,2
Najdi / Saudi,You Tube,https://youtu.be/_xXeagWvm0c?si=IZ070gSkXlSKg2DI,01.10.21,2
Najdi / Saudi,You Tube,https://youtu.be/_xXeagWvm0c?si=IZ070gSkXlSKg2DI,01.26.59,2
Najdi / Saudi,You Tube,https://youtu.be/wEsukYQ2ICQ?si=kkADQfgdHyW3zg1p,0.49.18,2
Najdi / Saudi,You Tube,https://youtu.be/Ox6OtQMAZPQ?si=Gt3-k4b3KfrX9f6m,01.44.01,2
Najdi / Saudi,You Tube,https://youtu.be/4OcuI3PHf1M?si=-NeADFoR-ErqqyAr,01.42.47,2
Najdi / Saudi,You Tube,https://youtu.be/KVoKzPVtAfA?si=hnItbhHO7-cIoo6y,01.23.59,2
Najdi / Saudi,You Tube,https://youtu.be/ZSshTglpdGo?si=f96CvKH_CnD-P0qC,01.03.24,2
Najdi / Saudi,You Tube,https://youtu.be/2-02L_GgWjg?si=wqbhvF7jtLrDlZaA,02.05.48,2
Najdi / Saudi,You Tube,https://youtu.be/O6lgciB_WpM?si=NCUzfZRx9SPatE83,01.38.14,2
Najdi / Saudi,You Tube,https://youtu.be/cgd1-5B9ukg?si=GTtau3xMBgZO-Csr,01.08.23,2
Najdi / Saudi,You Tube,https://youtu.be/orqMFrHPmFM?si=ZlhkBncQEM8p5K2r,01.22.29,2
Najdi / Saudi,You Tube,https://youtu.be/3TAa7QTdN80?si=Z_HUR7gzbd_tQ6FJ,01.19.21,2
Najdi / Saudi,You Tube,https://youtu.be/xwOesem0Zos?si=Wgcnbczapk5xcl2r,01.39.55,2
Najdi / Saudi,You Tube,https://youtu.be/OZpXZov1oB0?si=flMlyTyT4lTKhrZ_,01.43.10,2
Najdi / Saudi,You Tube,https://youtu.be/eVgerLLhGlw?si=0p5tt-BNuUpG-ut9,01.04.19,2
Najdi / Saudi,You Tube,https://youtu.be/iV3TTeikskA?si=PmP2WOEu3scMcefZ,01.51.57,2
Najdi / Saudi,You Tube,https://youtu.be/NKJIqtkXCis?si=76q_Djkp4vd8qlhS,01.43.39,2
Najdi / Saudi,You Tube,https://youtu.be/X_4xS2M6lOg?si=cZVvZFt1-WprwUCO,01.06.34,2
Najdi / Saudi,You Tube,https://youtu.be/5foQjhuudEE?si=pLGUWquab9FQDhQZ,01.30.52,2
Najdi / Saudi,You Tube,https://youtu.be/OhEpMJuEnns?si=lgdIXCvUynEkwS4F,01.50.30,2
Najdi / Saudi,You Tube,https://youtu.be/LDNe0iWx7GQ?si=0S0wLSqRmdlxubnT,01.35.56,2
Najdi / Saudi,You Tube,https://youtu.be/59dSrHJG1Po?si=qaoBbiSQ6rVa505k,01.36.33,2
Najdi / Saudi,You Tube,https://youtu.be/1TsgPrm_tsU?si=ZwtUtQHAWpCFKtaN,01.40.37,2
Najdi / Saudi,You Tube,https://youtu.be/XkXbWNILmcI?si=6IMQoVIFjYcrA0kz,00.59.33,2
Najdi / Saudi,You Tube,https://youtu.be/h3KcV4GnPyg?si=a3BN7AsLIm2Lbnzc,00.58.24,2
Najdi / Saudi,You Tube,https://youtu.be/CZrdJMG4UoY?si=Gz3F-RWGgbwtFiJ3,02.19.12,2
Najdi / Saudi,You Tube,https://youtu.be/db_HQx4ohm8?si=0y61FmZcUbhFv_rz,01.08.55,2
Najdi / Saudi,You Tube,https://youtu.be/DmPGft4NARE?si=kPNPWTKBDOjO5Y59,01.15.16,2
Najdi / Saudi,You Tube,https://youtu.be/ea--flpMGvA?si=4k5LZ2iQoL6Kocjd,01.34.15,2
Najdi / Saudi,You Tube,https://youtu.be/gsA7gts36lY?si=eywPAcTOBO7HwT0m,01.48.58,2
Najdi / Saudi,You Tube,https://youtu.be/qmrdiv6_XEY?si=pmTjHA1hwqt-bYOE,01.37.45,2
Najdi / Saudi,You Tube,https://youtu.be/E-H2y_EPQU0?si=E2IdRZMoATEvdxQc,01.04.26,2
Najdi / Saudi,You Tube,https://youtu.be/2mMXW2XjBB0?si=rN6B_O0pQry2GvQ6,01.29.38,2
Najdi / Saudi,You Tube,https://youtu.be/RBWAijm0C_g?si=klTYUoTaWOHwd1TQ,01.17.10,2
Najdi / Saudi,You Tube,https://youtu.be/5vwqRlePpvQ?si=XXGVAvD1nqhWWGaZ,01.23.04,2
Najdi / Saudi,You Tube,https://youtu.be/sNdpKc9kjHM?si=6OOYGHgPwG0cTGUN,01.13.39,2
Najdi / Saudi,You Tube,https://youtu.be/yJj6ylGbQb8?si=e1OMddS2tuQDbZzt,01.22.35,2
Najdi / Saudi,You Tube,https://youtu.be/2odozGCjeEI?si=Cw-EEJO7AWXuNS5B,00.56.57,2
Najdi / Saudi,You Tube,https://youtu.be/aFRWGg0y-iQ?si=iVsYk-XWiPtG28sm,00.58.06,2
Najdi / Saudi,You Tube,https://youtu.be/v6Y0RfqznFk?si=LAZYA9U79jBTq-0i,01.50.08,2
Najdi / Saudi,You Tube,https://youtu.be/cU58BlQjXjI?si=_fOtrjLGzbVmICTL,01.19.04,2
Najdi / Saudi,You Tube,https://youtu.be/0zfYADo2lg0?si=GumZN_H9isIXlXpQ,01.12.08,2
Najdi / Saudi,You Tube,https://youtu.be/aqY69rT4_II?si=P5N23BECYmUJt-of,01.52.54,2
Najdi / Saudi,You Tube,https://youtu.be/mBNzvwjtl04?si=GbeOrvi8nT0kxJ6H,01.19.00,2
Najdi / Saudi,You Tube,https://youtu.be/Ko5Lnkt2sTg?si=ibTIbSq0QjGfdELU,02.51.14,2
Najdi / Saudi,You Tube,https://youtu.be/6TdMQk_mX9k?si=uj-zP0PL5alVd-P-,02.22.38,2
Najdi / Saudi,You Tube,https://youtu.be/ejB6PKHZnVI?si=wWfZVCwurxqP-8AN,01.38.48,2
Najdi / Saudi,You Tube,https://www.youtube.com/watch?v=ilkjRGTFEMA&pp=0gcJCb4KAYcqIYzv,01.15.57,2
Najdi / Saudi,You Tube,https://youtu.be/ZNOiMf8aYLE?si=ucWTm_2bYaMTN4UX,02.04.33,2
Najdi / Saudi,You Tube,https://youtu.be/gtUoblGRmmc?si=kQnK-iBfFhaPZq4y,02.02.37,2
Najdi / Saudi,You Tube,https://youtu.be/J7U_BasrI1o?si=VspHGPKM5HnkWlzN,02.05.33,2
Najdi / Saudi,You Tube,https://youtu.be/XH7Qv3siYNM?si=ow1Wsp-J0ghjUb7R,01.29.24,2
Najdi / Saudi,You Tube,https://youtu.be/5HjnSbqQn-M?si=NSIg42Oms2QSPAGX,02.42.40,2
Najdi / Saudi,You Tube,https://youtu.be/yPuqrU74oMo?si=7h1q8WOftdj4O8z9,02.14.54,2
Najdi / Saudi,You Tube,https://youtu.be/Q63E7C4P4Q0?si=AN-_vHuUNbp5251T,01.59.37,2
Najdi / Saudi,You Tube,https://youtu.be/qb87OJIq5Jo?si=rok487dPTeemNFT_,01.51.32,2
Najdi / Saudi,You Tube,https://youtu.be/91P8UIF8ASw?si=XKEhSX-JT-XRBv_B,02.33.01,3
Najdi / Saudi,You Tube,https://youtu.be/v7nnrpM-Az4?si=_GIilYL2UFmrFpfT,01.22.08,2
